RightHandFrameIndex,14
ModelLocalRot,0,180,0
ModelSize,1785,1600,700
ModelCenterDiff,0,-860,0
ModelScale,0.1
HpMax,100
InitAcc,1
InitPos,1000,1000,200
PushWeight,50
InputJumpKeyFrame,12
RunSpeed,10
MaxJumpPower,18
JumpNum,1
InputAttackFrame,20
AttackMoveSpeed,13
PunchColliderLocalPos,0,20,70
PunchColliderStartRate,0.4
PunchColliderEndRate,0.6
PunchColliderRadius,100
EvasionSpeed,15
EvasionInvincibleStartRate,0
EvasionInvincibleEndRate,0.7
GougeColliderStartRate,0.33
CarryMoveSpeed,5
ThrowingReleaseRate,0.25
DamageSlowFrame,20
DamageKnockBackPower,10
DamageInvincibleFrame,60
FallDamageHeight,-500
FallDamage,30
PreviewPos,10,10
IdleAnimeSpeed,0.5
RunAnimeSpeed,6
JumpAnimeSpeed,5
FallAnimeSpeed,1.5
EvasionAnimeSpeed,1.5
PunchFirstAnimeSpeed,1.5
PunchSecondAnimeSpeed,1.5
GougeIdleAnimeSpeed,1
CatchAnimeSpeed,1.5
GougeAnimeSpeed,3
CarryIdleAnimeSpeed,1
CarryRunAnimeSpeed,2.5
ThrowAnimeSpeed,1
DamageAnimeSpeed,1
DeathAnimeSpeed,1
PunchAttackPower,5
ThrowingRockAttackPower,30
